,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
0,House for Sale,"$319,900","302 Wildbrier Dr,",Ballwin,MO,63011,"2,319",5,2,https://www.realtor.com//realestateandhomes-detail/302-Wildbrier-Dr_Ballwin_MO_63011_M81879-54121
1,House for Sale,"$259,900","504 Hillbrook Dr,",Ballwin,MO,63011,"1,954",3,2,https://www.realtor.com//realestateandhomes-detail/504-Hillbrook-Dr_Ballwin_MO_63011_M83997-47662
2,House for Sale,"$279,900","147 Country Creek Ct,",Ballwin,MO,63011,"2,001",3,2.5,https://www.realtor.com//realestateandhomes-detail/147-Country-Creek-Ct_Ballwin_MO_63011_M84542-50248
3,House for Sale,"$199,900","607 Morewood Ct,",Manchester,MO,63011,"1,376",3,2,https://www.realtor.com//realestateandhomes-detail/607-Morewood-Ct_Manchester_MO_63011_M89701-54882
4,House for Sale,"$664,900","556 Eagles Nest Ct,",Wildwood,MO,63011,"3,828",4,3.5,https://www.realtor.com//realestateandhomes-detail/556-Eagles-Nest-Ct_Ballwin_MO_63011_M76547-30974
5,House for Sale,"$350,000","349 Cherry Hill Dr,",Ellisville,MO,63011,"2,397",3,2.5,https://www.realtor.com//realestateandhomes-detail/349-Cherry-Hill-Dr_Ellisville_MO_63011_M73739-32097
6,House for Sale,"$243,900","818 Crestland Dr,",Ballwin,MO,63011,"1,110",4,2,https://www.realtor.com//realestateandhomes-detail/818-Crestland-Dr_Ballwin_MO_63011_M70156-94592
7,House for Sale,"$310,000","140 Wild Oak Ct,",Ballwin,MO,63011,"1,888",4,2.5,https://www.realtor.com//realestateandhomes-detail/140-Wild-Oak-Ct_Ballwin_MO_63011_M70034-78883
8,House for Sale,"$490,000","16727 Highland Summit Dr,",Wildwood,MO,63011,"2,995",5,4.5,https://www.realtor.com//realestateandhomes-detail/16727-Highland-Summit-Dr_Ballwin_MO_63011_M80957-43475
9,House for Sale,"$210,000","911 Parkway Dr,",Ballwin,MO,63011,"1,520",3,2,https://www.realtor.com//realestateandhomes-detail/911-Parkway-Dr_Ballwin_MO_63011_M89549-51080
