,School Name,City,Full Address,Zipcode,Phone Number,Distrct,MO Raniking,National Ranking,School page link (US News))
0,Lafayette Sr. High,"Wildwood, MO","17050 Clayton Rd, Wildwood, Missouri 63011",63011,(636) 733-4100,Rockwood R-Vi,1,431,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/lafayette-sr-high-11883
1,Smithville High,"Smithville, MO","645 S Commercial Ave, Smithville, Missouri 64089",64089,(816) 532-0405,Smithville R-II,2,531,https://www.usnews.com//education/best-high-schools/missouri/districts/smithville-r-ii/smithville-high-11910
2,Rockwood Summit Sr. High,"Fenton, MO","1780 Hawkins Rd, Fenton, Missouri 63026",63026,(636) 891-6800,Rockwood R-Vi,3,621,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/rockwood-summit-sr-high-11881
3,Eureka Sr. High,"Eureka, MO","4525 Hwy 109, Eureka, Missouri 63025",63025,(636) 733-3100,Rockwood R-Vi,4,681,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/eureka-sr-high-11882
4,Metro Academic and Classical High School,"St Louis, MO","4015 Mcpherson Ave, St Louis, Missouri 63108",63108,(314) 534-3894,St. Louis Public Schools,5,799,https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/metro-academic-and-classical-high-school-11941
5,West High,"Ballwin, MO","14653 Clayton Rd, Ballwin, Missouri 63011",63011,(314) 415-7500,Parkway C-2,6,823,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/west-high-11835
6,Lindbergh Sr. High,"St. Louis, MO","5000 S. Lindbergh, St. Louis, Missouri 63126",63126,(314) 729-2410,Lindbergh Schools,7,940,https://www.usnews.com//education/best-high-schools/missouri/districts/lindbergh-schools/lindbergh-sr-high-11739
7,Marquette Sr. High,"Chesterfield, MO","2351 Clarkson Rd, Chesterfield, Missouri 63017",63017,(636) 891-6000,Rockwood R-Vi,8,947,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/marquette-sr-high-11880
8,Affton High,"St Louis, MO","8309 Mackenzie Rd, St Louis, Missouri 63123",63123,(314) 638-6330,Affton 101,9,977,https://www.usnews.com//education/best-high-schools/missouri/districts/affton-101/affton-high-11490
9,Ft. Zumwalt West High,"O'fallon, MO","1251 Turtle Creek Dr, O'fallon, Missouri 63366",63366,(636) 379-0300,Ft. Zumwalt R-II,10,"1,196",https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-west-high-11558
10,Liberty High School,"Lake St. Louis, MO","2275 Sommers Road, Lake St. Louis, Missouri 63367",63367,(636) 561-0075,Wentzville R-Iv,11,"1,205",https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/liberty-high-school-147498
11,St. Louis Med/Bio Science High,"St. Louis, MO","1547 S. Theresa Av, St. Louis, Missouri 63104",63104,(314) 696-2290,St. Louis Public Schools,12,"1,241",https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/st-louis-med-bio-science-high-147497
12,Central High,"Chesterfield, MO","369 N Woods Mill Rd, Chesterfield, Missouri 63017",63017,(314) 415-7900,Parkway C-2,13,"1,384",https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/central-high-11832
13,Knob Noster High,"Knob Noster, MO","504 S Washington, Knob Noster, Missouri 65336",65336,(660) 563-2283,Knob Noster R-Viii,14,"1,649",https://www.usnews.com//education/best-high-schools/missouri/districts/knob-noster-r-viii/knob-noster-high-11714
14,Clayton High,"Clayton, MO","#1 Mark Twain Circle, Clayton, Missouri 63105",63105,(314) 854-6600,Clayton,15,"1,826",https://www.usnews.com//education/best-high-schools/missouri/districts/clayton/clayton-high-11569
15,Maplewood-Richmond Hgts. High,"Maplewood, MO","7539 Manchester Rd, Maplewood, Missouri 63143",63143,(314) 644-4401,Maplewood-Richmond Heights,16,"1,837",https://www.usnews.com//education/best-high-schools/missouri/districts/maplewood-richmond-heights/maplewood-richmond-hgts-high-11752
16,Parkway South High School,"Manchester, MO","801 Hanna Rd, Manchester, Missouri 63021",63021,(314) 415-7700,Parkway C-2,17,"1,867",https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/parkway-south-high-school-11834
17,St. Charles West High,"St Charles, MO","3601 Droste Rd, St Charles, Missouri 63301",63301,(636) 443-4200,St. Charles R-Vi,18,"1,906",https://www.usnews.com//education/best-high-schools/missouri/districts/st-charles-r-vi/st-charles-west-high-11928
18,Lincoln College Prep.,"Kansas City, MO","2111 Woodland, Kansas City, Missouri 64108",64108,(816) 418-3000,Kansas City 33,19,"1,923",https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/lincoln-college-prep-11696
19,Webster Groves High,"St Louis, MO","100 Selma Ave, St Louis, Missouri 63119",63119,(314) 963-6400,Webster Groves,20,"1,927",https://www.usnews.com//education/best-high-schools/missouri/districts/webster-groves/webster-groves-high-11996
20,Ft. Zumwalt East High,"St Peters, MO","600 1st Executive Ave, St Peters, Missouri 63376",63376,(636) 477-2400,Ft. Zumwalt R-II,21,"1,987",https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-east-high-11560
21,Truman High,"Independence, MO","3301 S Noland Rd, Independence, Missouri 64055",64055,(816) 521-5350,Independence 30,22,"2,018",https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/truman-high-11677
22,Ft. Zumwalt South High,"St Peters, MO","8050 Mexico Rd, St Peters, Missouri 63376",63376,(636) 978-1212,Ft. Zumwalt R-II,23,"2,115",https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-south-high-11557
23,Blue Springs High,"Blue Springs, MO","2000 Nw Ashton Dr, Blue Springs, Missouri 64015",64015,(816) 874-3400,Blue Springs R-Iv,24,"2,155",https://www.usnews.com//education/best-high-schools/missouri/districts/blue-springs-r-iv/blue-springs-high-11514
24,Ft. Zumwalt North High,"O'fallon, MO","1230 Tom Ginnever Blvd, O'fallon, Missouri 63366",63366,(636) 272-4447,Ft. Zumwalt R-II,25,"2,157",https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-north-high-11556
25,Fort Osage High,"Independence, MO","2101 N Twyman Rd, Independence, Missouri 64058",64058,(816) 650-7063,Fort Osage R-I,26,"2,216",https://www.usnews.com//education/best-high-schools/missouri/districts/fort-osage-r-i/fort-osage-high-11622
