,school_name,school_distrct,MO_raniking,national_ranking,city,state,zipcode,full_address,phone_number,school_page_link_usn
0,Lafayette Sr. High,Rockwood R-Vi,1,431,Wildwood,MO,63011,"17050 Clayton Rd, Wildwood, Missouri 63011",(636) 733-4100,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/lafayette-sr-high-11883
1,Smithville High,Smithville R-II,2,531,Smithville,MO,64089,"645 S Commercial Ave, Smithville, Missouri 64089",(816) 532-0405,https://www.usnews.com//education/best-high-schools/missouri/districts/smithville-r-ii/smithville-high-11910
2,Rockwood Summit Sr. High,Rockwood R-Vi,3,621,Fenton,MO,63026,"1780 Hawkins Rd, Fenton, Missouri 63026",(636) 891-6800,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/rockwood-summit-sr-high-11881
3,Eureka Sr. High,Rockwood R-Vi,4,681,Eureka,MO,63025,"4525 Hwy 109, Eureka, Missouri 63025",(636) 733-3100,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/eureka-sr-high-11882
4,Metro Academic and Classical High School,St. Louis Public Schools,5,799,St Louis,MO,63108,"4015 Mcpherson Ave, St Louis, Missouri 63108",(314) 534-3894,https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/metro-academic-and-classical-high-school-11941
5,West High,Parkway C-2,6,823,Ballwin,MO,63011,"14653 Clayton Rd, Ballwin, Missouri 63011",(314) 415-7500,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/west-high-11835
6,Lindbergh Sr. High,Lindbergh Schools,7,940,St. Louis,MO,63126,"5000 S. Lindbergh, St. Louis, Missouri 63126",(314) 729-2410,https://www.usnews.com//education/best-high-schools/missouri/districts/lindbergh-schools/lindbergh-sr-high-11739
7,Marquette Sr. High,Rockwood R-Vi,8,947,Chesterfield,MO,63017,"2351 Clarkson Rd, Chesterfield, Missouri 63017",(636) 891-6000,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/marquette-sr-high-11880
8,Affton High,Affton 101,9,977,St Louis,MO,63123,"8309 Mackenzie Rd, St Louis, Missouri 63123",(314) 638-6330,https://www.usnews.com//education/best-high-schools/missouri/districts/affton-101/affton-high-11490
9,Ft. Zumwalt West High,Ft. Zumwalt R-II,10,"1,196",O'fallon,MO,63366,"1251 Turtle Creek Dr, O'fallon, Missouri 63366",(636) 379-0300,https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-west-high-11558
10,Liberty High School,Wentzville R-Iv,11,"1,205",Lake St. Louis,MO,63367,"2275 Sommers Road, Lake St. Louis, Missouri 63367",(636) 561-0075,https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/liberty-high-school-147498
11,St. Louis Med/Bio Science High,St. Louis Public Schools,12,"1,241",St. Louis,MO,63104,"1547 S. Theresa Av, St. Louis, Missouri 63104",(314) 696-2290,https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/st-louis-med-bio-science-high-147497
