,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
0,House for Sale,"279,900","147 Country Creek Ct,",Ballwin,MO,63011,"2,001",3,2.5,https://www.realtor.com//realestateandhomes-detail/147-Country-Creek-Ct_Ballwin_MO_63011_M84542-50248
1,House for Sale,"350,000","349 Cherry Hill Dr,",Ellisville,MO,63011,"2,397",3,2.5,https://www.realtor.com//realestateandhomes-detail/349-Cherry-Hill-Dr_Ellisville_MO_63011_M73739-32097
2,House for Sale,"340,000","402 Baberton Dr,",Ballwin,MO,63011,"2,419",4,2.5,https://www.realtor.com//realestateandhomes-detail/402-Baberton-Dr_Ballwin_MO_63011_M71071-30510
3,House for Sale,"319,900","302 Wildbrier Dr,",Ballwin,MO,63011,"2,319",5,2,https://www.realtor.com//realestateandhomes-detail/302-Wildbrier-Dr_Ballwin_MO_63011_M81879-54121
4,House for Sale,"199,900","607 Morewood Ct,",Manchester,MO,63011,"1,376",3,2,https://www.realtor.com//realestateandhomes-detail/607-Morewood-Ct_Manchester_MO_63011_M89701-54882
5,Condo/Townhome,"270,000","2511 Newpoint Dr,",Wildwood,MO,63011,"1,576",3,3,https://www.realtor.com//realestateandhomes-detail/2511-Newpoint-Dr_Wildwood_MO_63011_M80332-57936
6,House for Sale,"310,000","140 Wild Oak Ct,",Ballwin,MO,63011,"1,888",4,2.5,https://www.realtor.com//realestateandhomes-detail/140-Wild-Oak-Ct_Ballwin_MO_63011_M70034-78883
7,House for Sale,"243,900","818 Crestland Dr,",Ballwin,MO,63011,"1,110",4,2,https://www.realtor.com//realestateandhomes-detail/818-Crestland-Dr_Ballwin_MO_63011_M70156-94592
8,House for Sale,"490,000","16727 Highland Summit Dr,",Wildwood,MO,63011,"2,995",5,4.5,https://www.realtor.com//realestateandhomes-detail/16727-Highland-Summit-Dr_Ballwin_MO_63011_M80957-43475
9,House for Sale,"365,000","1660 Waldens Meadow Ct,",Ellisville,MO,63011,"2,431",4,3.5,https://www.realtor.com//realestateandhomes-detail/1660-Waldens-Meadow-Ct_Ellisville_MO_63011_M83469-57045
10,House for Sale,"229,000","1390 Marsh Ave,",Ellisville,MO,63011,"1,008",4,2,https://www.realtor.com//realestateandhomes-detail/1390-Marsh-Ave_Ellisville_MO_63011_M89348-31843
11,House for Sale,"459,500","1963 Woodmoor Ridge Dr,",Wildwood,MO,63011,"2,654",4,3.5+,https://www.realtor.com//realestateandhomes-detail/1963-Woodmoor-Ridge-Dr_Ballwin_MO_63011_M76763-81784
12,House for Sale,"219,900","15935 Sandalwood Creek Dr,",Wildwood,MO,63011,"1,164",3,2.5,https://www.realtor.com//realestateandhomes-detail/15935-Sandalwood-Creek-Dr_Ballwin_MO_63011_M78961-64757
13,House for Sale,"210,000","911 Parkway Dr,",Ballwin,MO,63011,"1,520",3,2,https://www.realtor.com//realestateandhomes-detail/911-Parkway-Dr_Ballwin_MO_63011_M89549-51080
14,House for Sale,"260,000","1058 Lemar Dr,",Ellisville,MO,63011,"1,144",7,2,https://www.realtor.com//realestateandhomes-detail/1058-Lemar-Dr_Ellisville_MO_63011_M72841-95708
15,House for Sale,"281,000","420 Claymont Dr,",Ballwin,MO,63011,"1,969",3,2,https://www.realtor.com//realestateandhomes-detail/420-Claymont-Dr_Ballwin_MO_63011_M71186-08421
16,House for Sale,"194,900","983 Claytonbrook Dr,",Ballwin,MO,63011,"1,699",2,2,https://www.realtor.com//realestateandhomes-detail/983-Claytonbrook-Dr_Ballwin_MO_63011_M71721-07273
17,House for Sale,"484,900","806 Woodsdale Ct,",Wildwood,MO,63011,"2,882",5,3.5,https://www.realtor.com//realestateandhomes-detail/806-Woodsdale-Ct_Wildwood_MO_63011_M70592-32585
